获奖年份,获奖类别（英文）,获奖类别（中文）,奖项,全名,出生日期,出生城市,出生国家,所属组织,逝世日期,逝世地点城市,逝世地点国家
1932,Medicine,医药,1932 年诺贝尔生理学或医学奖,Edgar Douglas Adrian,1889-11-30,伦敦,英国,剑桥大学,1977-08-08,剑桥,英国
1932,Physics,物理,1932 年诺贝尔物理学奖,Werner Karl Heisenberg,1901-12-05,维尔茨堡,德国,莱比锡大学,1976-02-01,慕尼黑,西德（德国）
1933,Literature,文学,1933 年诺贝尔文学奖,Ivan Alekseyevich Bunin,1870-10-22,沃罗涅日,俄罗斯,,1953-11-08,巴黎,法国
1933,Medicine,医药,1933 年诺贝尔生理学或医学奖,Thomas Hunt Morgan,1866-09-25,肯塔基州列克星敦,美利坚合众国,加州理工学院（Caltech）,1945-12-04,加利福尼亚州帕萨迪纳,美利坚合众国
1933,Peace,和平,1933 年诺贝尔和平奖,Sir Norman Angell (Ralph Lane),1872-12-26,霍尔贝奇,英国,,1967-10-07,克罗伊登,英国
1933,Physics,物理,1933 年诺贝尔物理学奖,Erwin Schrödinger,1887-08-12,维也纳,奥地利,柏林大学,1961-01-04,维也纳,奥地利
1933,Physics,物理,1933 年诺贝尔物理学奖,Paul Adrien Maurice Dirac,1902-08-08,布里斯托尔,英国,剑桥大学,1984-10-20,佛罗里达州塔拉哈西,美利坚合众国
1934,Chemistry,化学,1934 年诺贝尔化学奖,Harold Clayton Urey,1893-04-29,印第安纳州沃克顿,美利坚合众国,哥伦比亚大学,1981-01-05,加利福尼亚州拉霍亚,美利坚合众国
1934,Literature,文学,1934 年诺贝尔文学奖,Luigi Pirandello,1867-06-28,阿格里真托，西西里岛,意大利,,1936-12-10,罗马,意大利
1934,Medicine,医药,1934 年诺贝尔生理学或医学奖,George Hoyt Whipple,1878-08-28,新罕布什尔州阿什兰,美利坚合众国,罗切斯特大学,1976-02-01,纽约州罗切斯特,美利坚合众国
1934,Medicine,医药,1934 年诺贝尔生理学或医学奖,George Richards Minot,1885-12-02,马萨诸塞州波士顿,美利坚合众国,哈佛大学,1950-02-25,马萨诸塞州布鲁克莱恩,美利坚合众国
1934,Medicine,医药,1934 年诺贝尔生理学或医学奖,William Parry Murphy,1892-02-06,威斯康星州斯托顿,美利坚合众国,哈佛大学,1987-10-09,马萨诸塞州布鲁克莱恩,美利坚合众国
1934,Peace,和平,1934 年诺贝尔和平奖,Arthur Henderson,1863-09-13,格拉斯哥,苏格兰,,1935-10-20,伦敦,英国
1935,Chemistry,化学,1935 年诺贝尔化学奖,Frédéric Joliot,1900-03-19,巴黎,法国,镭研究所,1958-08-14,巴黎,法国
1935,Chemistry,化学,1935 年诺贝尔化学奖,Irène Joliot-Curie,1897-09-12,巴黎,法国,镭研究所,1956-03-17,巴黎,法国
1935,Medicine,医药,1935 年诺贝尔生理学或医学奖,Hans Spemann,1869-06-27,斯图加特,符腾堡州（德国）,弗赖堡大学,1941-09-12,弗莱堡,德国
1935,Peace,和平,1935 年诺贝尔和平奖,Carl von Ossietzky,1889-10-03,汉堡,德国,,1938-05-04,柏林,德国
1935,Physics,物理,1935 年诺贝尔物理学奖,James Chadwick,1891-10-20,曼彻斯特,英国,利物浦大学,1974-07-24,剑桥,英国
1936,Chemistry,化学,1936 年诺贝尔化学奖,Petrus (Peter) Josephus Wilhelmus Debye,1884-03-24,马斯特里赫特,荷兰,柏林大学,1966-11-02,纽约州伊萨卡,美利坚合众国
1936,Literature,文学,1936 年诺贝尔文学奖,Eugene Gladstone O'Neill,1888-10-16,纽约州纽约市,美利坚合众国,,1953-11-27,马萨诸塞州波士顿,美利坚合众国
1936,Medicine,医药,1936 年诺贝尔生理学或医学奖,Sir Henry Hallett Dale,1875-06-09,伦敦,英国,国家医学研究所,1968-07-23,剑桥,英国
1936,Medicine,医药,1936 年诺贝尔生理学或医学奖,Otto Loewi,1873-06-03,美因河畔法兰克福,德国,格拉茨大学,1961-12-25,纽约州纽约市,美利坚合众国
1936,Peace,和平,1936 年诺贝尔和平奖,Carlos Saavedra Lamas,1878-11-01,布宜诺斯艾利斯,阿根廷,,1959-05-05,布宜诺斯艾利斯,阿根廷
1936,Physics,物理,1936 年诺贝尔物理学奖,Victor Franz Hess,1883-06-24,佩高,奥地利,因斯布鲁克大学,1964-12-17,纽约州弗诺山,美利坚合众国
1936,Physics,物理,1936 年诺贝尔物理学奖,Carl David Anderson,1905-09-03,纽约州纽约市,美利坚合众国,加州理工学院（Caltech）,1991-01-11,加利福尼亚州圣马力诺,美利坚合众国
1937,Chemistry,化学,1937 年诺贝尔化学奖,Walter Norman Haworth,1883-03-19,乔利,英国,伯明翰大学,1950-03-19,伯明翰,英国
1937,Chemistry,化学,1937 年诺贝尔化学奖,Paul Karrer,1889-04-21,莫斯科,俄罗斯,苏黎世大学,1971-06-18,苏黎世,瑞士
1937,Literature,文学,1937 年诺贝尔文学奖,Roger Martin du Gard,1881-03-23,塞纳河畔诺伊伊,法国,,1958-08-22,贝莱姆,法国
1937,Medicine,医药,1937 年诺贝尔生理学或医学奖,Albert von Szent-Györgyi Nagyrápolt,1893-09-16,布达佩斯,奥匈帝国（匈牙利）,塞格德大学,1986-10-22,马萨诸塞州伍兹霍尔,美利坚合众国
1937,Peace,和平,1937 年诺贝尔和平奖,"Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)",1864-09-14,伦敦,英国,,1958-11-24,坦布里奇韦尔斯,英国
1937,Physics,物理,1937 年诺贝尔物理学奖,Clinton Joseph Davisson,1881-10-22,伊利诺伊州布卢明顿,美利坚合众国,贝尔电话实验室,1958-02-01,弗吉尼亚州夏洛茨维尔,美利坚合众国
1937,Physics,物理,1937 年诺贝尔物理学奖,George Paget Thomson,1892-05-03,剑桥,英国,伦敦大学,1975-09-10,剑桥,英国
1938,Chemistry,化学,1938 年诺贝尔化学奖,Richard Kuhn,1900-12-03,维也纳,奥匈帝国,德皇威廉医学研究所（现为马克斯-普朗克研究所,1967-07-31,海德堡,西德（德国）
1938,Literature,文学,1938 年诺贝尔文学奖,Pearl Buck,1892-06-26,西弗吉尼亚州希尔斯伯勒,美利坚合众国,,1973-03-06,弗吉尼亚州丹比,美利坚合众国
1938,Medicine,医药,1938 年诺贝尔生理学或医学奖,Corneille Jean François Heymans,1892-03-28,根特,比利时,根特大学,1968-07-18,克诺克,比利时
1938,Peace,和平,1938 年诺贝尔和平奖,Office international Nansen pour les Réfugiés (Nansen International Office for Refugees),,,,,,,
1938,Physics,物理,1938 年诺贝尔物理学奖,Enrico Fermi,1901-09-29,罗马,意大利,罗马大学,1954-11-28,伊利诺伊州芝加哥,美利坚合众国
1939,Chemistry,化学,1939 年诺贝尔化学奖,Adolf Friedrich Johann Butenandt,1903-03-24,不来梅港-莱赫,德国,德皇威廉生物化学研究所（现为马克斯-普朗克研究所,1995-01-18,慕尼黑,德国
1939,Chemistry,化学,1939 年诺贝尔化学奖,Leopold Ruzicka,1887-09-13,武科瓦尔,奥匈帝国（克罗地亚）,瑞士联邦理工学院,1976-09-26,苏黎世,瑞士
1939,Literature,文学,1939 年诺贝尔文学奖,Frans Eemil Sillanpää,1888-09-16,Hämeenkyrö,俄罗斯帝国（芬兰）,,1964-06-03,赫尔辛基,芬兰
1939,Medicine,医药,1939 年诺贝尔生理学或医学奖,Gerhard Domagk,1895-10-30,拉格,德国（波兰）,明斯特大学,1964-04-24,伯格贝里,西德（德国）
1939,Physics,物理,1939 年诺贝尔物理学奖,Ernest Orlando Lawrence,1901-08-08,坎顿，SD,美利坚合众国,加利福尼亚大学,1958-08-27,加利福尼亚州帕洛阿尔托,美利坚合众国
1943,Chemistry,化学,1943 年诺贝尔化学奖,George de Hevesy,1885-08-01,布达佩斯,奥匈帝国（匈牙利）,斯德哥尔摩大学,1966-07-05,弗莱堡,西德（德国）
1943,Medicine,医药,1943 年诺贝尔生理学或医学奖,Henrik Carl Peter Dam,1895-02-21,哥本哈根,丹麦,理工学院,1976-04-17,哥本哈根,丹麦
1943,Medicine,医药,1943 年诺贝尔生理学或医学奖,Edward Adelbert Doisy,1893-11-13,伊利诺伊州休姆,美利坚合众国,圣路易斯大学,1986-10-23,密苏里州圣路易斯市,美利坚合众国
1943,Physics,物理,1943 年诺贝尔物理学奖,Otto Stern,1888-02-17,索劳（佐里）,德国（波兰）,卡内基理工学院,1969-08-17,加利福尼亚州伯克利,美利坚合众国
1944,Chemistry,化学,1944 年诺贝尔化学奖,Otto Hahn,1879-03-08,美因河畔法兰克福,德国,德皇威廉化学研究所（现为马克斯-普朗克研究所,1968-07-28,哥廷根,西德（德国）
1944,Literature,文学,1944 年诺贝尔文学奖,Johannes Vilhelm Jensen,1873-01-20,法尔瑟,丹麦,,1950-11-25,哥本哈根,丹麦
1944,Medicine,医药,1944 年诺贝尔生理学或医学奖,Joseph Erlanger,1874-01-05,加利福尼亚州旧金山,美利坚合众国,华盛顿大学,1965-12-05,密苏里州圣路易斯市,美利坚合众国
1944,Medicine,医药,1944 年诺贝尔生理学或医学奖,Herbert Spencer Gasser,1888-07-05,威斯康星州普拉特维尔,美利坚合众国,洛克菲勒医学研究所,1963-05-11,纽约州纽约市,美利坚合众国
1944,Peace,和平,1944 年诺贝尔和平奖,Comité international de la Croix Rouge (International Committee of the Red Cross),,,,,,,
1944,Physics,物理,1944 年诺贝尔物理学奖,Isidor Isaac Rabi,1898-07-29,雷曼诺,奥匈帝国（波兰）,哥伦比亚大学,1988-01-11,纽约州纽约市,美利坚合众国
1945,Chemistry,化学,1945 年诺贝尔化学奖,Artturi Ilmari Virtanen,1895-01-15,赫尔辛基,俄罗斯帝国（芬兰）,赫尔辛基大学,1973-11-11,赫尔辛基,芬兰
1945,Literature,文学,1945 年诺贝尔文学奖,Gabriela Mistral,1889-04-07,维库尼亚,智利,,1957-01-10,纽约州亨普斯特德,美利坚合众国
1945,Medicine,医药,1945 年诺贝尔生理学或医学奖,Sir Alexander Fleming,1881-08-06,洛赫菲尔德,苏格兰,伦敦大学,1955-03-11,伦敦,英国
1945,Medicine,医药,1945 年诺贝尔生理学或医学奖,Ernst Boris Chain,1906-06-19,柏林,德国,牛津大学,1979-08-12,穆兰尼,爱尔兰
1945,Medicine,医药,1945 年诺贝尔生理学或医学奖,Sir Howard Walter Florey,1898-09-24,阿德莱德,澳大利亚,牛津大学,1968-02-21,牛津大学,英国
1945,Peace,和平,1945 年诺贝尔和平奖,Cordell Hull,1871-10-02,田纳西州奥林巴斯,美利坚合众国,,1955-07-23,马里兰州贝塞斯达,美利坚合众国
1945,Physics,物理,1945 年诺贝尔物理学奖,Wolfgang Pauli,1900-04-25,维也纳,奥地利,普林斯顿大学,1958-12-15,苏黎世,瑞士
1946,Chemistry,化学,1946 年诺贝尔化学奖,James Batcheller Sumner,1887-11-19,马萨诸塞州坎顿,美利坚合众国,康奈尔大学,1955-08-12,纽约州布法罗,美利坚合众国
1946,Chemistry,化学,1946 年诺贝尔化学奖,John Howard Northrop,1891-07-05,纽约州扬克斯,美利坚合众国,洛克菲勒医学研究所,1987-05-27,亚利桑那州威肯伯格,美利坚合众国
1946,Chemistry,化学,1946 年诺贝尔化学奖,Wendell Meredith Stanley,1904-08-16,印第安纳州里奇维尔,美利坚合众国,洛克菲勒医学研究所,1971-06-15,萨拉曼卡,西班牙
1946,Literature,文学,1946 年诺贝尔文学奖,Hermann Hesse,1877-07-02,Calw,德国,,1962-08-09,蒙塔格诺拉,瑞士
1946,Medicine,医药,1946 年诺贝尔生理学或医学奖,Hermann Joseph Muller,1890-12-21,纽约州纽约市,美利坚合众国,印第安纳大学,1967-04-05,,
1946,Peace,和平,1946 年诺贝尔和平奖,Emily Greene Balch,1867-01-08,马萨诸塞州牙买加平原（波士顿）,美利坚合众国,,1961-01-09,马萨诸塞州剑桥市,美利坚合众国
1946,Peace,和平,1946 年诺贝尔和平奖,John Raleigh Mott,1865-05-25,纽约州利文斯顿庄园,美利坚合众国,,1955-01-31,,美利坚合众国
1946,Physics,物理,1946 年诺贝尔物理学奖,Percy Williams Bridgman,1882-04-21,马萨诸塞州剑桥市,美利坚合众国,哈佛大学,1961-08-20,新罕布什尔州伦道夫,美利坚合众国
1947,Chemistry,化学,1947 年诺贝尔化学奖,Sir Robert Robinson,1886-09-13,切斯特菲尔德附近的拉夫德,英国,牛津大学,1975-02-08,大米森登,英国
1947,Literature,文学,1947 年诺贝尔文学奖,André Paul Guillaume Gide,1869-11-22,巴黎,法国,,1951-02-19,巴黎,法国
1947,Medicine,医药,1947 年诺贝尔生理学或医学奖,Carl Ferdinand Cori,1896-12-05,布拉格,奥匈帝国（捷克共和国）,华盛顿大学,1984-10-20,马萨诸塞州剑桥市,美利坚合众国
1947,Medicine,医药,1947 年诺贝尔生理学或医学奖,"Gerty Theresa Cori, née Radnitz",1896-08-15,布拉格,奥匈帝国（捷克共和国）,华盛顿大学,1957-10-26,密苏里州圣路易斯市,美利坚合众国
1947,Medicine,医药,1947 年诺贝尔生理学或医学奖,Bernardo Alberto Houssay,1887-04-10,布宜诺斯艾利斯,阿根廷,生物与实验医学研究所（生物与实验医学研究所）,1971-09-21,布宜诺斯艾利斯,阿根廷
1947,Peace,和平,1947 年诺贝尔和平奖,Friends Service Council (The Quakers),,,,,,,
1947,Peace,和平,1947 年诺贝尔和平奖,American Friends Service Committee (The Quakers),,,,,,,
1947,Physics,物理,1947 年诺贝尔物理学奖,Sir Edward Victor Appleton,1892-09-06,布拉德福德,英国,科学与工业研究部,1965-04-21,爱丁堡,苏格兰
1948,Chemistry,化学,1948 年诺贝尔化学奖,Arne Wilhelm Kaurin Tiselius,1902-08-10,瑞典斯德哥尔摩,瑞典,乌普萨拉大学,1971-10-29,瑞典乌普萨拉,瑞典
1948,Literature,文学,1948 年诺贝尔文学奖,Thomas Stearns Eliot,1888-09-26,密苏里州圣路易斯市,美利坚合众国,,1965-01-04,伦敦,英国
1948,Medicine,医药,1948 年诺贝尔生理学或医学奖,Paul Hermann Müller,1899-01-12,奥尔滕,瑞士,J.R. Geigy A.G.染料厂有限公司实验室,1965-10-12,巴塞尔,瑞士
1948,Physics,物理,1948 年诺贝尔物理学奖,Patrick Maynard Stuart Blackett,1897-11-18,伦敦,英国,维多利亚大学,1974-07-13,伦敦,英国
1949,Chemistry,化学,1949 年诺贝尔化学奖,William Francis Giauque,1895-05-12,尼亚加拉瀑布,加拿大,加利福尼亚大学,1982-03-28,加利福尼亚州伯克利,美利坚合众国
1949,Literature,文学,1949 年诺贝尔文学奖,William Faulkner,1897-09-25,密歇根州新奥尔巴尼,美利坚合众国,,1962-07-06,密歇根州拜哈里亚,美利坚合众国
1949,Medicine,医药,1949 年诺贝尔生理学或医学奖,Walter Rudolf Hess,1881-03-17,弗劳恩费尔德,瑞士,苏黎世大学,1973-08-12,阿斯科纳,瑞士
1949,Medicine,医药,1949 年诺贝尔生理学或医学奖,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,阿凡卡,葡萄牙,里斯本大学,1955-12-13,里斯本,葡萄牙
1949,Peace,和平,1949 年诺贝尔和平奖,Lord (John) Boyd Orr of Brechin,1880-09-23,基尔摩斯,苏格兰,,1971-06-25,埃德塞尔,苏格兰
1949,Physics,物理,1949 年诺贝尔物理学奖,Hideki Yukawa,1907-01-23,东京,日本,京都帝国大学,1981-09-08,京都,日本
1950,Chemistry,化学,1950 年诺贝尔化学奖,Otto Paul Hermann Diels,1876-01-23,汉堡,德国,基尔大学,1954-03-07,基尔,西德（德国）
1950,Chemistry,化学,1950 年诺贝尔化学奖,Kurt Alder,1902-07-10,霍茹夫（Königshütte）,普鲁士（波兰）,科隆大学,1958-06-20,科隆,西德（德国）
1950,Literature,文学,1950 年诺贝尔文学奖,Earl (Bertrand Arthur William) Russell,1872-05-18,特雷勒克,英国,,1970-02-02,彭林德雷斯,英国
1950,Medicine,医药,1950 年诺贝尔生理学或医学奖,Edward Calvin Kendall,1886-03-08,康涅狄格州南诺沃克,美利坚合众国,梅奥诊所,1972-05-04,新泽西州普林斯顿,美利坚合众国
1950,Medicine,医药,1950 年诺贝尔生理学或医学奖,Tadeus Reichstein,1897-07-20,Wloclawek,波兰,巴塞尔大学,1996-08-01,巴塞尔,瑞士
1950,Medicine,医药,1950 年诺贝尔生理学或医学奖,Philip Showalter Hench,1896-02-28,宾夕法尼亚州匹兹堡,美利坚合众国,梅奥诊所,1965-03-30,奥乔里奥斯,牙买加
1950,Peace,和平,1950 年诺贝尔和平奖,Ralph Bunche,1904-08-07,密歇根州底特律,美利坚合众国,哈佛大学,1971-12-09,纽约州纽约市,美利坚合众国
1950,Physics,物理,1950 年诺贝尔物理学奖,Cecil Frank Powell,1903-12-05,汤布里奇,英国,布里斯托尔大学,1969-08-09,,意大利
1951,Chemistry,化学,1951 年诺贝尔化学奖,Edwin Mattison McMillan,1907-09-18,加利福尼亚州雷东多海滩,美利坚合众国,加利福尼亚大学,1991-09-07,加利福尼亚州埃尔塞里托,美利坚合众国
1951,Chemistry,化学,1951 年诺贝尔化学奖,Glenn Theodore Seaborg,1912-04-19,密歇根州伊什佩明,美利坚合众国,加利福尼亚大学,1999-02-25,加利福尼亚州拉斐特,美利坚合众国
1951,Literature,文学,1951 年诺贝尔文学奖,Pär Fabian Lagerkvist,1891-05-23,韦克舍,瑞典,,1974-07-11,斯德哥尔摩,瑞典
1951,Medicine,医药,1951 年诺贝尔生理学或医学奖,Max Theiler,1899-01-30,比勒陀利亚,南非,洛克菲勒基金会医学与公共卫生处实验室,1972-08-11,康涅狄格州纽黑文,美利坚合众国
1951,Peace,和平,1951 年诺贝尔和平奖,Léon Jouhaux,1879-07-01,巴黎,法国,,1954-04-28,巴黎,法国
1951,Physics,物理,1951 年诺贝尔物理学奖,Sir John Douglas Cockcroft,1897-05-27,谋杀死者,英国,原子能研究机构,1967-09-18,剑桥,英国
1951,Physics,物理,1951 年诺贝尔物理学奖,Ernest Thomas Sinton Walton,1903-10-06,邓加文,爱尔兰,三一学院,1995-06-25,贝尔法斯特,北爱尔兰
1952,Chemistry,化学,1952 年诺贝尔化学奖,Archer John Porter Martin,1910-03-01,伦敦,英国,国家医学研究所,2002-07-28,朗格朗,英国
1952,Chemistry,化学,1952 年诺贝尔化学奖,Richard Laurence Millington Synge,1914-10-28,利物浦,英国,罗威特研究所,1994-08-18,诺维奇,英国
1952,Literature,文学,1952 年诺贝尔文学奖,François Mauriac,1885-10-11,波尔多,法国,,1970-09-01,巴黎,法国
1952,Medicine,医药,1952 年诺贝尔生理学或医学奖,Selman Abraham Waksman,1888-07-22,普里卢卡（新普里卢卡）,俄罗斯帝国（乌克兰）,罗格斯大学,1973-08-16,马萨诸塞州海尼斯,美利坚合众国
1952,Peace,和平,1952 年诺贝尔和平奖,Albert Schweitzer,1875-01-14,凯瑟斯贝格,德国（法国）,,1965-09-04,兰巴雷内,加蓬
1952,Physics,物理,1952 年诺贝尔物理学奖,Felix Bloch,1905-10-23,苏黎世,瑞士,斯坦福大学,1983-09-10,苏黎世,瑞士
1952,Physics,物理,1952 年诺贝尔物理学奖,Edward Mills Purcell,1912-08-30,伊利诺伊州泰勒维尔,美利坚合众国,哈佛大学,1997-03-07,马萨诸塞州剑桥市,美利坚合众国
1953,Chemistry,化学,1953 年诺贝尔化学奖,Hermann Staudinger,1881-03-23,蠕虫,德国,弗莱堡大学,1965-09-08,弗莱堡,西德（德国）
1953,Literature,文学,1953 年诺贝尔文学奖,Sir Winston Leonard Spencer Churchill,1874-11-30,伍德斯托克,英国,,1965-01-24,伦敦,英国
1953,Medicine,医药,1953 年诺贝尔生理学或医学奖,Hans Adolf Krebs,1900-08-25,希尔德斯海姆,德国,谢菲尔德大学,1981-11-22,牛津大学,英国
1953,Medicine,医药,1953 年诺贝尔生理学或医学奖,Fritz Albert Lipmann,1899-06-12,科尼希斯贝格（加里宁格勒）,德国（俄罗斯）,哈佛医学院,1986-07-24,纽约州波基普西,美利坚合众国
1953,Peace,和平,1953 年诺贝尔和平奖,George Catlett Marshall,1880-12-31,宾夕法尼亚州尤尼恩敦,美利坚合众国,,1959-10-16,华盛顿特区,美利坚合众国
1953,Physics,物理,1953 年诺贝尔物理学奖,Frits Zernike,1888-07-16,阿姆斯特丹,荷兰,格罗宁根大学,1966-03-10,格罗宁根,荷兰
1954,Chemistry,化学,1954 年诺贝尔化学奖,Linus Carl Pauling,1901-02-28,俄勒冈州波特兰市,美利坚合众国,加州理工学院（Caltech）,1994-08-19,加利福尼亚州大苏尔,美利坚合众国
1954,Literature,文学,1954 年诺贝尔文学奖,Ernest Miller Hemingway,1899-07-21,伊利诺伊州橡树园,美利坚合众国,,1961-07-02,内华达州凯彻姆,美利坚合众国
1954,Medicine,医药,1954 年诺贝尔生理学或医学奖,John Franklin Enders,1897-02-10,康涅狄格州西哈特福德,美利坚合众国,哈佛医学院,1985-09-08,康涅狄格州沃特福德,美利坚合众国
1954,Medicine,医药,1954 年诺贝尔生理学或医学奖,Thomas Huckle Weller,1915-06-15,密歇根州安阿伯市,美利坚合众国,儿童医学中心传染病研究部,2008-08-23,马萨诸塞州尼德姆,美利坚合众国
1954,Medicine,医药,1954 年诺贝尔生理学或医学奖,Frederick Chapman Robbins,1916-08-25,阿拉巴马州奥本,美利坚合众国,西储大学,2003-08-04,俄亥俄州克利夫兰,美利坚合众国
1954,Peace,和平,1954 年诺贝尔和平奖,Office of the United Nations High Commissioner for Refugees (UNHCR),,,,,,,
1954,Physics,物理,1954 年诺贝尔物理学奖,Max Born,1882-12-11,布雷斯劳（弗罗茨瓦夫）,德国（波兰）,爱丁堡大学,1970-01-05,戈廷根,西德（德国）
1954,Physics,物理,1954 年诺贝尔物理学奖,Walther Bothe,1891-01-08,奥拉宁堡,德国,海德堡大学,1957-02-08,海德堡,西德（德国）
1955,Chemistry,化学,1955 年诺贝尔化学奖,Vincent du Vigneaud,1901-05-18,伊利诺伊州芝加哥,美利坚合众国,康奈尔大学,1978-12-11,纽约州怀特普莱恩斯,美利坚合众国
1955,Literature,文学,1955 年诺贝尔文学奖,Halldór Kiljan Laxness,1902-04-23,雷克雅未克,冰岛,,1998-02-08,雷克雅未克,冰岛
1955,Medicine,医药,1955 年诺贝尔生理学或医学奖,Axel Hugo Theodor Theorell,1903-07-06,林雪平,瑞典,卡罗林斯卡医学院、诺贝尔医学研究所,1982-08-15,斯德哥尔摩,瑞典
1955,Physics,物理,1955 年诺贝尔物理学奖,Willis Eugene Lamb,1913-07-12,加利福尼亚州洛杉矶,美利坚合众国,斯坦福大学,2008-05-15,亚利桑那州图森,美利坚合众国
1955,Physics,物理,1955 年诺贝尔物理学奖,Polykarp Kusch,1911-01-26,布兰肯堡,德国,哥伦比亚大学,1993-03-20,德克萨斯州达拉斯市,美利坚合众国
1956,Chemistry,化学,1956 年诺贝尔化学奖,Sir Cyril Norman Hinshelwood,1897-05-19,伦敦,英国,牛津大学,1967-10-09,伦敦,英国
1956,Chemistry,化学,1956 年诺贝尔化学奖,Nikolay Nikolaevich Semenov,1896-04-03,萨拉托夫,俄罗斯,苏联科学院化学物理研究所,1986-09-25,莫斯科,苏维埃社会主义共和国联盟
1956,Literature,文学,1956 年诺贝尔文学奖,Juan Ramón Jiménez,1881-12-24,莫格,西班牙,,1958-05-29,圣胡安,波多黎各
1956,Medicine,医药,1956 年诺贝尔生理学或医学奖,André Frédéric Cournand,1895-09-24,巴黎,法国,哥伦比亚大学贝尔维尤医院心肺实验室分部,1988-02-19,马萨诸塞州大巴林顿,美利坚合众国
1956,Medicine,医药,1956 年诺贝尔生理学或医学奖,Werner Forssmann,1904-08-29,柏林,德国,美因茨大学,1979-06-01,肖普夫海姆,西德（德国）
1956,Medicine,医药,1956 年诺贝尔生理学或医学奖,Dickinson W. Richards,1895-10-30,新泽西州奥兰治,美利坚合众国,哥伦比亚大学,1973-02-23,康涅狄格州莱克维尔,美利坚合众国
1956,Physics,物理,1956 年诺贝尔物理学奖,William Bradford Shockley,1910-02-13,伦敦,英国,贝克曼仪器公司半导体实验室,1989-08-12,加利福尼亚州帕洛阿尔托,美利坚合众国
1956,Physics,物理,1956 年诺贝尔物理学奖,John Bardeen,1908-05-23,威斯康星州麦迪逊,美利坚合众国,伊利诺伊大学,1991-01-30,马萨诸塞州波士顿,美利坚合众国
1956,Physics,物理,1956 年诺贝尔物理学奖,Walter Houser Brattain,1902-02-10,淘金,中国,贝尔电话实验室,1987-10-13,华盛顿州西雅图,美利坚合众国
1957,Chemistry,化学,1957 年诺贝尔化学奖,Lord (Alexander R.) Todd,1907-10-02,格拉斯哥,苏格兰,剑桥大学,1997-01-10,剑桥,英国
1957,Literature,文学,1957 年诺贝尔文学奖,Albert Camus,1913-11-07,蒙多维,法属阿尔及利亚（阿尔及利亚）,,1960-01-04,感官,法国
1957,Medicine,医药,1957 年诺贝尔生理学或医学奖,Daniel Bovet,1907-03-23,纳沙泰尔,瑞士,公共卫生研究所所长,1992-04-08,罗马,意大利
1957,Peace,和平,1957 年诺贝尔和平奖,Lester Bowles Pearson,1897-04-23,多伦多,加拿大,,1972-12-27,渥太华,加拿大
1957,Physics,物理,1957 年诺贝尔物理学奖,Chen Ning Yang,1922-09-22,何飞、安伟,中国,高等研究所,,,
1957,Physics,物理,1957 年诺贝尔物理学奖,Tsung-Dao (T.D.) Lee,1926-11-24,上海,中国,哥伦比亚大学,,,
1958,Chemistry,化学,1958 年诺贝尔化学奖,Frederick Sanger,1918-08-13,Rendcombe,英国,剑桥大学,2013-11-19,剑桥,英国
1958,Literature,文学,1958 年诺贝尔文学奖,Boris Leonidovich Pasternak,1890-02-10,莫斯科,俄罗斯,,1960-05-30,家庭影院,俄罗斯
1958,Medicine,医药,1958 年诺贝尔生理学或医学奖,George Wells Beadle,1903-10-22,东北部瓦胡,美利坚合众国,加州理工学院（Caltech）,1989-06-09,加利福尼亚州波莫纳,美利坚合众国
1958,Medicine,医药,1958 年诺贝尔生理学或医学奖,Edward Lawrie Tatum,1909-12-14,科罗拉多州博尔德,美利坚合众国,洛克菲勒医学研究所,1975-11-05,纽约州纽约市,美利坚合众国
1958,Medicine,医药,1958 年诺贝尔生理学或医学奖,Joshua Lederberg,1925-05-23,新泽西州蒙特克莱尔,美利坚合众国,威斯康星大学,2008-02-02,纽约州纽约市,美利坚合众国
1958,Peace,和平,1958 年诺贝尔和平奖,Georges Pire,1910-02-10,迪南,比利时,,1969-01-30,鲁汶,比利时
1958,Physics,物理,1958 年诺贝尔物理学奖,Pavel Alekseyevich Cherenkov,1904-07-28,新奇格拉,俄罗斯,列别杰夫物理研究所,1990-01-06,,苏维埃社会主义共和国联盟
1958,Physics,物理,1958 年诺贝尔物理学奖,Igor Yevgenyevich Tamm,1895-07-08,符拉迪沃斯托克,俄罗斯,莫斯科大学,1971-04-12,莫斯科,苏维埃社会主义共和国联盟（俄罗斯）
1958,Physics,物理,1958 年诺贝尔物理学奖,Il´ja Mikhailovich Frank,1908-10-23,列宁格勒（圣彼得堡）,俄罗斯,莫斯科大学,1990-06-22,莫斯科,苏维埃社会主义共和国联盟（俄罗斯）
1959,Chemistry,化学,1959 年诺贝尔化学奖,Jaroslav Heyrovsky,1890-12-20,布拉格,奥匈帝国（捷克共和国）,捷克斯洛伐克科学院极地研究所,1967-03-27,布拉格,捷克斯洛伐克
1959,Literature,文学,1959 年诺贝尔文学奖,Salvatore Quasimodo,1901-08-20,莫迪卡,意大利,,1968-06-14,那不勒斯,意大利
1959,Medicine,医药,1959 年诺贝尔生理学或医学奖,Severo Ochoa,1905-09-24,卢阿尔卡,西班牙,纽约大学医学院,1993-11-01,马德里,西班牙
